horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.001068401842105523,,,
5,bootstrap_draw,8,10000,8937,-0.0010579127944563972,,,
5,bootstrap_draw,8,10000,8937,-0.001060846600036069,,,
5,bootstrap_draw,8,10000,8937,-0.0010578682941488383,,,
5,bootstrap_draw,8,10000,8937,-0.0010501953479019588,,,
5,bootstrap_draw,8,10000,8937,-0.0010420041221362206,,,
5,bootstrap_draw,8,10000,8937,-0.0010536874515762282,,,
5,bootstrap_draw,8,10000,8937,-0.0010592466848224284,,,
5,bootstrap_draw,8,10000,8937,-0.001053345952178719,,,
5,bootstrap_draw,8,10000,8937,-0.0010660181848032313,,,
5,bootstrap_draw,8,10000,8937,-0.0010629002719931488,,,
5,bootstrap_draw,8,10000,8937,-0.0010618685840288675,,,
5,bootstrap_draw,8,10000,8937,-0.0010652509159633527,,,
5,bootstrap_draw,8,10000,8937,-0.0010607945137140803,,,
5,bootstrap_draw,8,10000,8937,-0.0010589149116146017,,,
5,bootstrap_draw,8,10000,8937,-0.0010626284014430385,,,
5,bootstrap_draw,8,10000,8937,-0.0010612748484811643,,,
5,bootstrap_draw,8,10000,8937,-0.0010621193149188265,,,
5,bootstrap_draw,8,10000,8937,-0.0010622385994128528,,,
5,bootstrap_draw,8,10000,8937,-0.001061581789216858,,,
5,bootstrap_draw,8,10000,8937,-0.0010628406727781086,,,
5,bootstrap_draw,8,10000,8937,-0.001059809351154011,,,
5,bootstrap_draw,8,10000,8937,-0.0010664447470999947,,,
5,bootstrap_draw,8,10000,8937,-0.00106178759406493,,,
5,bootstrap_draw,8,10000,8937,-0.001067397972030442,,,
5,bootstrap_draw,8,10000,8937,-0.0010533384789699967,,,
5,bootstrap_draw,8,10000,8937,-0.0010582956033278355,,,
5,bootstrap_draw,8,10000,8937,-0.0010566357360014735,,,
5,bootstrap_draw,8,10000,8937,-0.0010693644692867613,,,
5,bootstrap_draw,8,10000,8937,-0.001061889181459601,,,
5,bootstrap_draw,8,10000,8937,-0.0010599410004130893,,,
5,bootstrap_draw,8,10000,8937,-0.001059790450274518,,,
5,bootstrap_draw,8,10000,8937,-0.0010584069759231607,,,
5,bootstrap_draw,8,10000,8937,-0.001056098283502076,,,
5,bootstrap_draw,8,10000,8937,-0.0010607657034328467,,,
5,bootstrap_draw,8,10000,8937,-0.001053603057922009,,,
5,bootstrap_draw,8,10000,8937,-0.0010571249043936765,,,
5,bootstrap_draw,8,10000,8937,-0.0010698355023465301,,,
5,bootstrap_draw,8,10000,8937,-0.0010653605154600562,,,
5,bootstrap_draw,8,10000,8937,-0.0010665655520047024,,,
5,bootstrap_draw,8,10000,8937,-0.0010525542717535771,,,
5,bootstrap_draw,8,10000,8937,-0.0010556166425504576,,,
5,bootstrap_draw,8,10000,8937,-0.0010549347281706913,,,
5,bootstrap_draw,8,10000,8937,-0.0010699641862655005,,,
5,bootstrap_draw,8,10000,8937,-0.00106159647278008,,,
5,bootstrap_draw,8,10000,8937,-0.001060064600121889,,,
5,bootstrap_draw,8,10000,8937,-0.001049474059828679,,,
5,bootstrap_draw,8,10000,8937,-0.0010612092958605277,,,
5,bootstrap_draw,8,10000,8937,-0.001063935657932083,,,
5,bootstrap_draw,8,10000,8937,-0.0010629581639764255,,,
5,bootstrap_draw,8,10000,8937,-0.0010516524391136818,,,
5,bootstrap_draw,8,10000,8937,-0.0010707220835863055,,,
5,bootstrap_draw,8,10000,8937,-0.0010459479640843306,,,
5,bootstrap_draw,8,10000,8937,-0.0010555638820761203,,,
5,bootstrap_draw,8,10000,8937,-0.0010560740670447037,,,
5,bootstrap_draw,8,10000,8937,-0.0010712974069980396,,,
5,bootstrap_draw,8,10000,8937,-0.0010522498659854625,,,
5,bootstrap_draw,8,10000,8937,-0.0010637801442966684,,,
5,bootstrap_draw,8,10000,8937,-0.0010477223251892324,,,
5,bootstrap_draw,8,10000,8937,-0.001064482583105267,,,
5,bootstrap_draw,8,10000,8937,-0.0010567046159948017,,,
5,bootstrap_draw,8,10000,8937,-0.0010664849641585528,,,
5,bootstrap_draw,8,10000,8937,-0.001059049324117921,,,
5,bootstrap_draw,8,10000,8937,-0.0010637973089073893,,,
5,bootstrap_draw,8,10000,8937,-0.0010596513773849488,,,
5,bootstrap_draw,8,10000,8937,-0.0010774272056099593,,,
5,bootstrap_draw,8,10000,8937,-0.001054379828760851,,,
5,bootstrap_draw,8,10000,8937,-0.0010576343672806594,,,
5,bootstrap_draw,8,10000,8937,-0.0010503426235829556,,,
