draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
187,-0.012593987632909674,-0.030324916422663238,0.017730928789753565
188,-0.019791453183095376,-0.04252806503166317,0.022736611848567793
189,-0.014158503091389482,-0.04000659657260155,0.025848093481212066
190,-0.012541893458869089,-0.030139697518139077,0.017597804059269986
191,-0.0024378524809104004,-0.02182610157648757,0.01938824909557717
192,-0.005413953498700207,-0.03434108615121513,0.028927132652514925
193,-0.01744748500536764,-0.03918140888092816,0.02173392387556052
194,-0.008118872466159612,-0.023258928226732128,0.015140055760572516
195,-0.009966509485786446,-0.04272555628193328,0.032759046796146836
196,-0.014495044838648689,-0.04612168607922112,0.03162664124057243
197,-0.010951624274520283,-0.03431886951917143,0.02336724524465115
198,-0.008204004047401944,-0.02839539093547773,0.020191386888075785
199,-0.020261164742253555,-0.026155692681357545,0.005894527939103989
200,-0.008179532697737392,-0.044272248321710096,0.036092715623972704
201,-0.007593339997866687,-0.05133826069613028,0.04374492069826359
202,-0.008561685146846462,-0.02407685149662661,0.01551516634978015
203,-0.009309454525441524,-0.03225169514725351,0.022942240621811986
204,-0.015820145362318253,-0.029977646628871507,0.014157501266553255
205,-0.018179206524388234,-0.03740462790166627,0.019225421377278038
206,-0.013052107749215424,-0.02564843950437483,0.012596331755159404
207,-0.015914448605916405,-0.04631778904608344,0.030403340440167036
208,-0.012088420544264391,-0.050462554641945156,0.038374134097680763
209,-0.005301880473677007,-0.04667800587855857,0.04137612540488156
210,-0.01028531501968839,-0.046555488376301433,0.03627017335661305
211,-0.012636121561621316,-0.03472273854175886,0.022086616980137547
212,-0.015315035232778787,-0.04294832124372577,0.027633286010946986
213,-0.017820871555263455,-0.029160007001691496,0.01133913544642804
214,-0.016773745272448043,-0.044352379301494514,0.02757863402904647
215,-0.0054518133524478355,-0.04029232986540442,0.03484051651295659
216,-0.010535769031892038,-0.04919563698062807,0.038659867948736035
217,-0.017506069986061346,-0.04899747286745107,0.03149140288138973
218,-0.008074022034489571,-0.038238879935480655,0.030164857900991084
219,-0.015009262237778624,-0.02369169549900957,0.008682433261230945
220,-0.014245058028543148,-0.02493850958664919,0.01069345155810604
221,-0.023881294145897305,-0.04159033090995224,0.017709036764054935
222,-0.015163231486440979,-0.04027864573020062,0.02511541424375964
223,-0.005544583679831758,-0.05708296870991854,0.05153838503008678
224,-0.006744110925814195,-0.025914772253973945,0.01917066132815975
225,-0.006045077153645009,-0.03533814923530925,0.02929307208166424
226,0.0006591051311387781,-0.030237298925722234,0.03089640405686101
227,-0.004311337021524288,-0.025415084252775562,0.021103747231251274
228,-0.0042541965192246485,-0.05066903318479676,0.04641483666557211
229,-0.019396269089287616,-0.0382248123722454,0.018828543282957782
230,-0.007333851268756122,-0.03554748058790668,0.028213629319150557
231,-0.00907066651708607,-0.04247222997440824,0.033401563457322175
232,-0.02418947368094521,-0.04485630591053241,0.020666832229587203
233,-0.012489091879801805,-0.04949361294048725,0.03700452106068544
234,-0.023074397501844167,-0.03736715331923483,0.014292755817390666
235,-0.01976255464015193,-0.03173243300592952,0.011969878365777589
236,-0.01872941424772722,-0.040138085404886205,0.021408671157158984
237,-0.02403941568901265,-0.033948189204341096,0.009908773515328446
238,-0.006374821091727469,-0.031230962304464042,0.024856141212736573
239,-0.017308326475373215,-0.036414938142145734,0.019106611666772518
240,-0.01580700237034733,-0.03954041534859195,0.02373341297824462
241,-0.012006751848733774,-0.042440642116696244,0.03043389026796247
242,-0.016588650525022827,-0.017854340887239018,0.001265690362216191
243,-0.020382318397883466,-0.036073671534101376,0.01569135313621791
244,-0.01208918250383154,-0.035254306569975184,0.023165124066143645
245,-0.002449725250592729,-0.027474733606289787,0.025025008355697057
246,-0.007294957765883195,-0.03920352808225793,0.031908570316374736
247,-0.0010635903590251834,-0.04658481177120916,0.04552122141218398
248,-0.01312571947833342,-0.03596186587789138,0.022836146399557958
249,-0.0211268653401388,-0.02799114315460652,0.006864277814467721
250,-0.011531877399470454,-0.03914053883976666,0.02760866144029621
251,-0.012899438605962103,-0.024689682907404684,0.011790244301442581
252,-0.008748229081702195,-0.03069766404439951,0.021949434962697315
253,-0.018598206780245503,-0.039138296616770964,0.02054008983652546
254,-0.0156474385001588,-0.02881720433966112,0.013169765839502322
255,-0.02045681450166942,-0.03549079903343141,0.015033984531761985
256,-0.011487381514682975,-0.04273357269172576,0.031246191177042783
257,-0.010129437999048217,-0.03812063880220098,0.02799120080315276
258,-0.01421695934755126,-0.017067714452582435,0.0028507551050311747
259,-0.013079764137482104,-0.02788835598757694,0.014808591850094836
260,-0.0023121040623979095,-0.03920214446351509,0.03689004040111718
261,-0.002809985214854896,-0.03282037940730499,0.030010394192450097
262,-0.02405151148224837,-0.026620670475774752,0.002569158993526381
263,-0.01707161552050847,-0.02992949237203075,0.012857876851522277
264,-0.011465697143897986,-0.03373941292718562,0.022273715783287636
265,-0.012532226429522961,-0.018773537461199766,0.006241311031676805
266,-0.01458356512548724,-0.05348582723864811,0.03890226211316087
267,-0.025114063683753934,-0.0331234238386885,0.008009360154934565
268,-0.007812947375741326,-0.025043996872175463,0.017231049496434135
269,-0.013945344448504801,-0.03973380583092422,0.02578846138241942
270,-0.020505891056636073,-0.027650182930849206,0.007144291874213133
271,-0.01726749893660308,-0.0417419107373407,0.024474411800737624
272,-0.01088308396743608,-0.015842740716940223,0.004959656749504144
273,-0.014847729613488488,-0.04085037896293611,0.026002649349447626
274,-0.012936677982083537,-0.05243536903621051,0.03949869105412697
275,-0.007315902647883331,-0.03085844524883019,0.02354254260094686
276,-0.0066039068668771305,-0.03814185564464701,0.03153794877776988
277,-0.013143649249653392,-0.040091656063760445,0.026948006814107053
278,-0.00997921141946578,-0.03680440703896443,0.026825195619498653
279,-0.02460780964109673,-0.02274423614539317,-0.0018635734957035584
280,-0.012362195550222596,-0.029751029821865012,0.017388834271642416
281,-0.014090349089438585,-0.03394858028746078,0.0198582311980222
282,-0.009407277526464862,-0.022275023663534947,0.012867746137070086
283,-0.019428684705019357,-0.029347970031421068,0.009919285326401711
284,0.0027238815691478205,-0.03852604508046257,0.04124992664961039
285,-0.019663632363775024,-0.05669575216384421,0.03703211980006919
286,-0.02031543506507942,-0.03784459988644983,0.01752916482137041
287,-0.0027177116040572684,-0.05156058358291813,0.04884287197886086
288,0.00027468575497524616,-0.06211007239542676,0.06238475815040201
289,-0.023422908715250854,-0.03866937250791029,0.015246463792659436
290,-0.01842070210726819,-0.04765235698420606,0.029231654876937865
291,-0.02089733940711872,-0.050894052292859385,0.029996712885740663
292,-0.011315825400418499,-0.06477352988419305,0.05345770448377455
293,-0.011908651458977485,-0.03081802383083365,0.018909372371856165
294,-0.012421061302753894,-0.04331342145879602,0.030892360156042124
295,-0.02578031071346632,-0.028570008295638917,0.0027896975821725956
296,-0.027909242580520657,-0.03665202418930034,0.008742781608779681
297,-0.005498847697360159,-0.03310737437189664,0.027608526674536484
298,-0.02367568208702724,-0.03958925234404299,0.015913570257015747
299,-0.013644620543916653,-0.03129518438461922,0.01765056384070257
300,-0.011931682661848658,-0.050549222845263565,0.03861754018341491
301,-0.018185008089823828,-0.036763844865324344,0.018578836775500516
302,-0.010049823983211125,-0.03565922120016941,0.025609397216958284
303,-0.019009052944603737,-0.04331608901801891,0.02430703607341517
304,-0.015619879371497376,-0.055303791691818,0.03968391232032062
305,-0.014617506197987814,-0.04273544115726408,0.028117934959276267
306,-0.016940339098056912,-0.054678195548682355,0.03773785645062544
307,-0.018491463782663677,-0.0374756717148729,0.018984207932209222
308,-0.013456869994528787,-0.04307671746402746,0.029619847469498674
309,-0.008602618698840134,-0.04392441281384258,0.03532179411500244
310,-0.006333784638959575,-0.03644668632742643,0.030112901688466857
311,-0.014385852105242812,-0.04175579480979275,0.02736994270454994
312,-0.005085015722020373,-0.03881981581747736,0.033734800095456985
313,-0.01197311198566863,-0.03989115926636704,0.02791804728069841
314,-0.015023873675444334,-0.03487634719121208,0.01985247351576775
315,-0.022915864605560735,-0.040877558291036564,0.01796169368547583
316,-0.011452586218050302,-0.03061543923615724,0.01916285301810694
317,-0.005686515662790859,-0.042174109556758405,0.036487593893967545
318,-0.019109752575917367,-0.02313811406666109,0.004028361490743725
319,0.0005712746646008312,-0.04794194714325063,0.04851322180785146
320,-0.01594310441911999,-0.032006733797205505,0.016063629378085517
321,-0.0204367508378374,-0.04910357231566868,0.028666821477831277
322,-0.021999914935688227,-0.04934274680363875,0.027342831867950525
323,-0.0165854503576566,-0.041832302444068485,0.025246852086411885
324,-0.012173504845615229,-0.033603695472135764,0.021430190626520535
